book_id,Title,Authors,Description,Category
3725,The Cat Who Came for Christmas,"By Amory, Cleveland","An account of a year in the life of Polar Bear, a stray white cat that finds its way into the heart and home of the author, portrays the cat's independent nature and opposition to anything new"," Humor , General"
3726,Zero-sum Society,"By Thurow, Lester C.","Written during a period of acute economic stagnation in 1980, The Zero-Sum Society discusses the human implications of economic problem solving. Interpreting macroeconomics as a zero-sum game, Thurow proposes that the American economy will not solve its most trenchant problems-inflation, slow economic growth, the environment-until the political economy can support, in theory and in practice, the idea that certain members of society will have to bear the brunt of taxation and other government-sponsored economic actions. As relevant today as it was twenty years ago, The Zero-Sum Society offers a classic set of recommendations about the best way to balance government stewardship of the economy and the free-market aspirations of upwardly mobile Americans."," Business & Economics , Economics , General"
3727,"Marco Polo, If You Can","By Buckley, William F.","When ex-CIA agent, Blackford Oakes returns to try to find a Russian infiltrator, he becomes involved in the U-2 incident"," Fiction , Mystery & Detective , General"
3728,And Baby Will Fall,"By Lewin, Michael Z.","Social worker Adele Buffington's work problems, ranging from office politics to an adoption racket, are complicated by the attentions of ambitious Indianapolis detective Homer Profitt, who also complicates Adele's romance with private eye Albert Samson"," Fiction , Mystery & Detective , General"
3729,Scoundrel Time,"By Hellman, Lillian","The distinguished playwright and memoirist recounts the intrusion of congressional and other witch-hunters, Red-baiters, and ideologues into her and Dashiell Hammett's lives in the 1950s and the losses and discomforts suffered. Reprint. 10,000 first printing."," Biography & Autobiography , General"
3730,Hot Properties,"By yglesias, rafael","In a novel that probes the inner workings of the Manhattan publishing world--the work, power, money, sex, and love--young Patty Lane writes a first novel that turns her into a cult figure overnight"," Fiction , General"
3731,Butter Busters,"By Mycoskie, Pam","A phenomenal, self-published bestseller--now completely revised and updated. This revolutionary new book contains over 350 delicious recipes that use simple substitutions to transform family favorites into very low-fat, healthy foods. Recipes for cakes, cookies, pies, lasagna, pizza, and other dishes."," Cooking , Reference"
3732,And Soon I'll Come to Kill You,"By Kelly, Susan",Weekly death threats and an uninvited intruder force Liz Conners and her detective boyfriend to attempt to find the culprit before he or she finds Liz," Fiction , Mystery & Detective , General"
3733,The Church of Dead Girls: A Novel,"By Dobyns, Stephen","One by one, three young girls vanish in Aurelius, a small town in upstate New York. With the first disappearance, the townspeople begin to mistrust outsiders. When the second girl goes missing, neighbors and childhood friends start to eye one another warily. And with the third disappearance, the sleepy little town awakens to a full-blown nightmare.In The Church of Dead Girls, Stephen Dobyns probes the ruinous effects of suspicion. No one is immune, not the respected editor of the local paper, nor the demure cashier at the pharmacy, nor even the narrator, a high school biology teacher, observed baking cookies with young girls and helping them with their homework. As the panic mounts and the citizens take the law into their own hands, old rumors, old angers, and old hungers come to the surface to reveal the secret history of this seemingly genteel town and the dark impulses of its inhabitants.Written with an uncanny awareness of the intricacies of human nature, The Church of Dead Girls is both a gripping story about the corrosive effects of fear and a chilling psychological thriller."," Fiction , General"
3734,Patriots,"By Sohmer, Steve","In November 1991, with the end of the Cold War, a battle-scarred American intelligence officer initiates a series of assassinations and air strikes designed to destroy United States leadership and bring the world to the edge of Armageddon"," Fiction , General"
3735,Coming Home,"By Pilcher, Rosamunde","In telling the story of Judith Dunbar and her loved ones, Rosamunde Pilcher writes with warmth, wisdom, and clear-eyed insight about every family. This is a totally involving story of coming of age, coming to terms with both love and sadness, and, in every sense of the words, Coming Home."," Fiction , Mystery & Detective , General"
3736,Don't Cry Now: A Novel,"By Fielding, Joy","Happily married with a beautiful young daughter, a handsome husband, and a sprawling house in one of Boston's most comfortable suburbs, Bonnie Wheeler has an enviable life. Even her husband's ex-wife, Joan, with her tendency toward bad timing, is merely a nuisance.But one morning Bonnie must grasp the fragility of her perfect world. When she finds Joan shot through the heart, it becomes terrifyingly clear that someone is also after her - and her exquisite child."," Fiction , Thrillers , General"
3737,Shoah,"By Lanzmann, Claude","This comprehensive transcription documents the interviews--with former German official bureaucrats, Polish peasants, and German colonizers of occupied Poland"," Performing Arts , Film , History & Criticism"
3738,Yesterday,"By Michaels, Fern","A tragic accident on the eve of her wedding to a wealthy businessman leaves Callie Parker in a coma and three childhood friends trying to sort out the clusters of secrets and lies the event has uncovered. 75,000 first printing."," Fiction , Psychological"
3739,Vanishing Moon Pa (Harvest Book),"By Coulson, Joseph","A chorus of candid and poignant voices narrates this novel about a working-class American family who struggles to succeed through five turbulent decades, from the Depression to the Vietnam War. First, Stephen Tollman looks back on his early adventures with his older brother, Philip, as the boys try to shield their younger siblings from the vulnerability of financial ruin. Years later, the vibrant and ambitious Katherine Lennox mesmerizes Stephen and Philip as they both tragically fall in love with her. Then, Philip's son James comes of age in the 1960s, striving to understand his father's deep anger amid a summer of assassinations and civil unrest.Together, these voices create an insightful, beautiful, and deeply psychological story about the American working class, about the strength and strain of family bonds, and finally, about hardships that haunt the human psyche over a lifetime."," Fiction , Action & Adventure"
3740,Sweet and Sugar Free: An All Natural Fruit-Sweetened Dessert Cookbook,"By Barkie, Karen E.","At last there's a way to have your cake without the calories and harmful effects of sugar, honey and artificial sweeteners.  Karen Barkie has created over 200 imaginative and easy-to-follow recipes for cakes, pies, cookies, breads, sherberts, custard, and much more, sweetened with a variety of fruit and fruit juices--and without one spoonful of sugar!  Luscious pinepple cream pie, easy-to-make apple raisin bars, and peach cheesecake are but a few of the delectable--and wholesome--treats in Sweet and Sugarfree.  Complete with charts listing caloric and nutritional values, tips on baking with a dozen different flours, and instructions for creating hundreds of toppings and fruit combinations, Sweet and Sugarfree is a delicious contribution to the better health of us all."," Cooking , Health & Healing , Diabetic & Sugar-Free"
3741,What Black People Should Do Now,"By Wiley, Ralph","A collection of pieces on race, culture, politics, and black survival confronts the realities of African-American life, from the Rodney King beating to the challenges of multiculturalism."," Social Science , Ethnic Studies , African American Studies"
3742,The Ring of Truth: An Inquiry into How We Know What We Know,"By Morrison, Philip",Explores the process of scientific investigation and the scientist's efforts to understand the natural world," Science , General"
3743,Not That You Asked...,"By Rooney, Andrew A.","Presents more than 120 of the humorist's most recent and funniest columns on a variety of issues, ranging from politics to the condition of his backyard"," Humor , General"
3744,Flashbacks: On Returning to Vietnam,"By Safer, Morley","A noted television journalist records his impressions of Vietnam during a 1988 trip to Southeast Asia, describing encounters with old friends and enemies, the impact of the Vietnam War on the region, and changes in the country since the war"," History , General"
3745,Women Coming Of Age,"By Fonda, Jane and McCarthy, Mignon","The noted actress presents a practical guide to total health, specifically designed for mature women, discussing the nutritional needs of midlife women, a comprehensive exercise workout, the myths of aging, menopause, skin care, and other topics of concern"," Health & Fitness , General"
3746,All Too Human: The Love Story of Jack and Jackie Kennedy,"By Klein, Edward","Of all the great love stories that have had an impact on our times - Eleanor and Franklin, Winston and Clementine, the Duke and Duchess of Windsor - none has remained as shrouded in secrecy and misunderstanding as that of John and Jacqueline Kennedy.Here, for the first time, their story is told the way it was always meant to be told - with such depth and amazing detail that it sheds a whole new light on the relationship at the heart of Camelot.For many years, Edward Klein, the former editor in chief of The New York Times Magazine, was a friend of Jacqueline Kennedy Onassis. Drawing on his personal knowledge, major research libraries, private documents and correspondence, FBI files, and more than three hundred interviews, All Too Human is an original and unprecedented work on the Kennedys - a book replete with fresh facts and information, as well as a dramatically new interpretation of the Kennedy marriage."," Biography & Autobiography , Presidents & Heads of State"
3747,DESIGNATION GOLD ROGUE WARRIOR,"By Marcinko, Richard and Weisman, John","Investigating the murder of his friend at the hands of a Russian godfather, who has also died suspiciously, the Rogue Warrior uncovers a political conspiracy that leads to an attempt to disband the SEALs."," Fiction , General"
3748,"All's Fair: Love, War and Running for President","By Carville, James, Matalin, Mary, and Knobler, Peter","Never before has a more revealing X ray been taken of the modern American presidential campaign than this compelling memoir of the nation's foremost political operatives, Democrat James Carville and Republican Mary Matalin.  Not since Theodore White's legendary Making of the President series has a book on presidential campaigns so intimately recounted the power plays and clandestine maneuvers that are at the heart of American political dueling. James Cherville and Mary Matalin, themselves the key players at the center of the political battles and election headlines that gripped America, tell in candid, stunning detail of the day-by-day pressures, near disasters, and triumphs of campaign life; they take the reader deeper than ever before into the art of getting a president elected.  For anyone interested in politics and the way our nation chooses its leaders, All's Fair is a vital resource, and the most telling guide available to the inner workings of today's partisan conflict."," Political Science , General"
3749,The Motley Fool Investment Guide: How the Fools Beat Wall Street's Wise Men and How You Can Too,"By Gardner, David and Gardner, Tom","An entertaining guide to making money argues that not taking risks is the biggest danger to a potential investor's future and outlines a simple but effective strategy for investment success. Reprint. 100,000 first printing. Tour."," Business & Economics , Personal Finance , Investing"
3750,Forever Fifty (Judith Viorst's Decades),"By Viorst, Judith","Judith Viorst is known and loved by readers of all ages, for children's books such as Alexander and the Terrible, Horrible, No Good, Very Bad Day; nonfiction titles, including the bestseller Necessary Losses; and her collections of humorous poetry, which make perfect gifts for birthdays, Mother's Day, graduation, Christmas, Chanukah, or at any time of year. Now Judith Viorst looks at what it's like to be (gulp) fifty.  Writing with the warmth and authenticity that have become her trademarks, Viorst once again demonstrates her uncanny ability to transform our daily realities into poems that make us laugh with recognition. Whether her subject is the decline of the body (""It's hard to be devil-may-care/When there are pleats in your derrière"") or future aspirations (""Before I go, I'd like to have high cheekbones./I'd like to talk less like New Jersey, and more like Claire Bloom""), she always speaks directly to our condition. Her funny, compassionate poems shed a reassuring light on the fine art of aging, and will delight anyone who is now (or forever) fifty."," Humor , Topic , Marriage & Family"
3751,"Managing Projects in Organizations: How to Make the Best Use of Time, Techniques, and People (Jossey Bass Business & Management Series)","By Frame, J. Davidson","Sound advice for product, engineering, and service-based oganizationsUnlike other project management books that focus on engineering and manufacturing settings alone, this resource encompasses product, engineering, and service-based organizations. Plus, it covers important new developments in software, outsourcing, quality, and related issues. Much more than a mere checklist of techniques, Managing Projects in Organizations provides you with a sound, overall methodology for dealing with information-age projects. You get advice on overcoming problems at the organizational, team and individual levels, managing human resources, selecting the best team structure, identifying customer needs, defining project requirements, and managing the inevitable politics every project presents, plus much, much more!"," Business & Economics , Management"
3752,Guide My Feet: Prayers and Meditations on Loving and Working for Children,"By Edelman, Marian Wright","The founder of the Children's Defense Fund and author of The Measure of Our Success presents prayers and meditations to inspire all those, such as parents, teachers, and ministers, who work on the behalf of children.  Marian Wright Edelman, founder and president of the Children's Defense Fund, is one of the most important moral leaders in America. Her first book, The Measure of Our Success was a #1 New York Times bestseller—spending 16 weeks on the list, selling more than 450,000 copies and garnering spectacular praise from Hillary Clinton, Maya Angelou, and Oprah Winfrey. Guide My Feet continues her crusade for the well-being of America's children by providing a counterweight to the lesson society is teaching this generation of children—to be soulless takers instead of empowered givers.Guide My Feet is a collection of prayers and meditations gathered from Edelman's own holiday rituals and experiences and the writings of such inspiring leaders as Dr. Martin Luther King Jr., Gandhi, and Frederick Douglass. It urges readers to commit to and pray for strength and patience, and offers solace and direction for parents troubled by the commercialism and violence running rampant in today's society. Filled with wisdom, compassion and understanding, it provides an important spiritual and moral resource all caregivers can turn to as they strive to instill values, integrity, self-discipline and faith in children."," Religion , Education"
3753,Knockout Mouse: A Bill Damen Mystery (Silicon Valley Mysteries),"By Calder, James","Set in the high-stakes world of biotechnology, Knockout Mouse is the gripping debut of a literary mystery series featuring Bill Damen, a filmmaker with an eye for trouble. When a dinner guest dies suddenly of an allergic reaction to a food she hasn't eaten, Bill suspects murder and begins to investigate, but soon finds himself the accused. He follows a trail that leads from cancer research to genetic engineering to secret rogue experiments uncovering motives, means, and placers that could only exist in state-of-the-art Silicon Valley."," Fiction , Mystery & Detective , General"
3754,James McNair's Salads,"By Hildreth, Jim and McNair, James (ILT)","Fans of James McNair's bestselling Cold Pasta, take heed: this latest volume offers a brand new array of exciting recipes for delicious, hearty salads. Once again, the emphasis is on salads that can serve as either main dishes or single courses and, as always, McNair's selections boast a decidedly international flair. The recipes include such exotic combinations as Poached Lobster and Spicy Cabbage in Thai-Style Vinaigrette, Warm Quail and Sausage Salad; Grilled Pancetta-Wrapped Figs and Arugula in Lavender Dressing and Louisiana Fried Oyster, Corn, and Chicory Salad. As with all the books in this popular single-subject series, each recipe is accompanied by easy-to-follow instructions and a gorgeous, full-page color photograph of the author's stylish presentations."," Cooking , Courses & Dishes , Salads"
3755,Cooking At the Academy,"By Richardson, Boyce","First published in 1974, Strangers Devour the Land is recognized as the magnum opus among the numerous books, articles, and films produced by Boyce Richardson over two decades on the subject of indigenous people. Its subject, the long struggle of the Crees of James Bay in northern Quebec—a hunting and trapping people—to defend the territories they have occupied since time immemorial, came to international attention in 1972 when they tried by legal action to stop the immense hydro-electric project the provincial government was proposing to build around them. The Crees argued that the integrity of their vast wilderness was essential to their way of life, but the authorities dismissed such claims out of hand. Richardson, who sat through many months of the trial, mingles the scientific and Cree testimony given in court with his own interviews of Cree hunters, and experiences in gathering information and shooting films, to produce a classic tale of cultures in collision.In a new preface, he reveals that the Crees—now receiving immense sums of money as compensation for the loss of their lands—appear to be doing well, and to be in the process of joining modern, technological culture, while retaining the spiritual base of their traditional lives. Meanwhile, Hydro-Quebec continues to eye additional rivers on the Cree’s lands for new dams."," History , Native American"
3756,The Three Boxes of Life and How to Get Out of Them: An Introduction to Life/Work Planning,"By Bolles, Richard Nelson","Argues that three stages of life--education, work, and retirement--have become three boxes for learning, achievement, and leisure"," Business & Economics , Careers , Job Hunting"
3757,Tainted Legacy: 9/11 and the Ruin of Human Rights (Nation Books),"By Schulz, William F.","Have human rights as we once understood them become obsolete since 9-11? Aren’t new methods needed to combat the apocalyptic violence of al-Qaeda? Shouldn’t we sacrifice some rights to make us all safer? And if we can kill a combatant in battle, why shouldn’t we torture them if it will save lives? William Schulz, Executive Director of Amnesty International USA, examines these and other fundamental questions through the prism of our new consciousness about terrorism in this provocative new book. It questions America’s own ambivalent record?its tainted legacy?and addresses recent human rights violations: the imprisonment without charge of non-citizens and the violation of the Geneva Convention at Guantanamo Bay. Schulz writes, ?One of Osama bin Laden’s goals is to destroy the solidarity of the international community and undermine the norms and standards that have sustained that community since the end of World War II. The great irony of the post-9/11 world is that, when it comes to human rights, the United States has been doing his work for him.”"," Political Science , Terrorism"
3758,The Glucose Revolution Life Plan,"By Burani, Johanna, Brand Miller, Janette, and Foster-Powell, Kaye","Discusses the glycemic index and the benefits of low-G.I. foods and offers dietary guidelines, a comprehensive table of glycemic index values, and fifty recipes."," Health & Fitness , Diet & Nutrition , Diets"
3759,The Ten Offenses,"By Robertson, Pat","The Ten Commandments are a gift from God, intended to protect and bless His people. Yet there is so much confusion and misunderstanding regarding these ten timeless truths. How could something so good be so offensive? In this book, Pat Robertson takes a fresh, penetrating look at the benefits of honoring the Ten Commandments--both personally and as a nation."," Religion , Christian Life , General"
3760,The Healing of  America,"By Williamson, Marianne","Noting a spiritually motivated political activism now emerging in America, Marianne Williamson claims that traditional political activists increasingly look to spiritual wisdom for inspiration while spiritual contemplatives are increasingly eager to extend their service to the world into political realms. The convergence of the two impulses forms what Williamson calls a ""holistic politics.""With the publication of The Healing of America, Williamson becomes a powerful voice for social conscience in American society. While citing the virtual abandonment of social justice as a dominant political theme since the 1960's, Williamson notes historian Arthur Schlesinger's contention that Americans express renewed political interest every thirty years. This is a time, according to Williamson, for Americans to return once again to our first principles -- political and spiritual. In this landmark work, Williamson draws plans for the transformation of American political consciousness and the reemergence of powerful citizen involvement in a genuine healing of American society."," History , United States , General"
3761,"Up Close and in Your Face with the Greats, Near-Greats, and Ingrates of Sports","By Firestone, Roy","The unorthodox sportscaster shares provocative anecdotes about some of the colorful figures of the sports world, including Reggie Jackson, Wilt Chamberlain, Pete Rose, Billie Jean King, and Michael Jordan. 60,000 first printing. $60,000 ad/promo. Tour."," Sports & Recreation , General"
3762,Great Detectives,"By McCullough, David W. (EDT)","Brings together Macdonald's ""The Chill,"" P.D. James's ""The Black Tower,"" the Victorian ""Big Bow Mystery,"" and sixteen stories by Chandler, Chesterton, Christie, Faulkner, Hammett, McBain, Queen, Sayers, Westlake, and others"," Fiction , Mystery & Detective , General"
3763,How Do I Look?: The Complete Guide to Inner and Outer Beauty: From Confidence to Cosemetics,"By Hayman, Gale","Reading How Do I Look? is like having a thoughtful personal beauty consultant at your side, offering the knowledge and encouraging the confidence it takes for every woman to project her innate beauty. This book has it all: from reshaping your lip line to making a discount store bargain look like couture; from selecting a doctor to projecting a positive attitude and making relationships work; from taking a new look at what's already in your closet to diet and exercise tips that will truly improve your relationship with yourself. You'll discover skin-care products, makeup, and fashion and learn head-to-toe grooming rituals as well as the best way to pack for a trip. And Hayman's personalized color charts will help you choose foolproof, face-flattering colors for cosmetics and clothing based on your own eye color and skin tone.Over the years, Hayman has helped thousands of women achieve and express their own personal style. Here are the secrets she's learned in a timeless, classic, woman-to-woman sourcebook, one that you'll turn to time and again, like a cherished friend. Authoritative and accessible, How Do I Look? will help you answer that question with a new self-assurance, knowing you look your best."," Self-help , Personal Growth , Self-Esteem"
3764,Scout's Honor: A Father's Unlikely Foray into the Woods,"By Applebome, Peter","Peter Applebome grew up obsessed by box scores, so when his son, Ben, joined Little League he happily assumed he'd be spending Ben's childhood at the ballfield. But what Ben really liked was hiking and camping-and when he joined the local Scout troop Applebome reluctantly went along for the ride.   As someone who had never made a fire except in a gas grill and tied knots only in his shoelaces, Applebome was an unlikely recruit. Taking us from the low points to the unexpected triumphs and through all the trekorees and derbies in between, Applebome hikes the trail from tenderfoot skeptic to proud Scout dad. Offering affectionate portraits of the motley group of boys in the troop, he also laces his very funny narrative with an informal but fascinating history of Scouting and grapples with the modern-day controversies that will help determine Scouting's future."," Family & Relationships , Parenting , Fatherhood"
3765,Nerve's Guide to Sex Etiquette for Ladies and Gentlemen,"By Sharkey, Lorelei and Taylor, Emma","Nerve's Guide to Sex Etiquette for Ladies and Gentlemen is committed to saving readers from a lifetime of sexual faux-pas. From one-night stands to dirty talk and much more this outrageously helpful handbook includes hints such as:  ? When booty-calling an ex, the dumpee must be the initiator the first two times. After that, it's considered polite for the dumper to initiate so the dumpee doesn't feel doubly pathetic.  ? On a one-night stand, you may make a stealth exit from your partner's bed, but it is gauche to request that your partner vacate before daylight.  ? A civilized lady or gentleman always has a guest toothbrush handy, still in its packaging, just in case a guest requests one. However, only vulgarians keep an entire drawer of them for guests to ""pick their favorite color.""  Mixing witty ""pearls of wisdom,"" hilarious sidebars, and essential advice, Em and Lo deliver the practical handbook of bedside manners for singles and devoted couples in the new millennium."," Self-help , Sexual Instruction"
3766,Bandbox (Harvest Book),"By Mallon, Thomas","""Cuddles Houlihan got clipped by the vodka bottle as it exited the pneumatic tube. . . ."" With that bottle we enter Bandbox, a hugely successful magazine of the 1920s, run by bombastic Jehoshaphat ""Joe"" Harris. Harris's most ambitious protégé (""the bastard son he never had"") has just defected to run the competition, plunging Bandbox into a newsstand death struggle. The magazine's fight for survival will soon involve a sabotaged fiction contest, the vice squad, a subscriber's kidnapping, and a film-actress cover subject who makes the heroines of Chicago look like the girls next door. While Harris and his magazine careen from comic crisis to make-or-break calamity, the reader races from skyscraper to speakeasy.Thomas Mallon has given us a madcap romp of a book that brilliantly portrays Manhattan in the gaudiest American decade of them all."," Fiction , Historical , General"
3767,Rumor Has It,"By Dickinson, Charles","A witness to a hit-and-run accident involving a child, newsman Danny Fain pursues what he is certain is a hit story, even after he returns to the newsroom and discovers that the paper is folding and he is out of a job. Reprint. NYT."," Fiction , General"
3768,The Visiting Physician,"By Shreve, Susan Richards","Meridian, Ohio, seems like a nostalgic reverie of the American heartland, a place where community spirit and old-fashioned values have not been lost. Certainly that is the image promoted by a big-network television documentary - an image that the townspeople protect at the price of splitting Meridian apart.Helen Fielding, a young pediatrics resident, arrives as a ""visiting physician"" to treat a bacterial outbreak that threatens Meridian's children. She is presumed a stranger in a town poisoned by an undercurrent of hostility and resentment in the wake of the documentary. But Helen is no stranger to Meridian. Her family vacationed there when she was a child, until the central shattering event of their lives - the disappearance of Helen's little sister. As Helen discovers the betrayals at the center of Meridian's disintegration, she also learns the terrible secret in her own family, bringing hope of redemption to the town and, for Helen, the possibility of genuine love."," Fiction , General"
3769,Fitness for the Unfit,"By Marx, Ina","Offers advice for all age groups on total physical fitness through nutrition, exercies, breathing, meditation, and relaxation"," Health & Fitness , General"
3770,Everyone Is Entitled to My Opinion,"By Brinkley, David","No matter how seriously we take our politics, Americans love a light touch, a raised eyebrow, a generous chuckle - which is why millions of us tune in to Sunday morning television for the bracing cocktail of wit and practical wisdom dispensed, along with the news, by the inimitable David Brinkley. His closing remarks, like an exclamation point after each broadcast, may illuminate the week's events or they may range widely through the oft-puzzling human condition - but they're always worth waiting for.In this one-of-a-kind book, we get the undiluted Brinkley. He marvels at government regulations that require paint cans to bear a label reading ""Do not drink paint."" He nominates Richard Nixon as Official U.S. Government Scapegoat. He commiserates with an Oklahoma mayor who must earn extra money by collecting beer cans and claiming the deposits. He reminisces about a White House that welcomed casual picnickers on its lawn. He forgives George Bush for passing out in Tokyo. He observes that ""if we can put a man on the moon, we could put Congress in orbit."" He skewers lawyers, bureaucrats, Washington insiders, hypocrites of all stripes. He commemorates absurdity - and hence suffers fools gladly."," Humor , General"
3771,"My Life, So Far: By Edith Ann","By Wagner, Jane (ILT)","First seen perched in her big yellow rocker as Lily Tomlin's six-something alter ego on Laugh-In, and now starring in a series of animated specials on ABC, Edith Ann has always been everyone's favorite sandbox philosopher. In My Life, So Far, written and illustrated by Jane Wagner, this kid on the cutting edge of childhood continues to make us laugh and think and then rethink what we've just been laughing at.Filled with time-released smart pills for the soul and state-of-the-heart insights into childhood as a lifestyle, this is the book that asks the question: ""What was the question?"""," Humor , General"
3772,Peachtree Road,"By Siddons, Anne Rivers","Two star-crossed cousins, the independent Lucy and the bookish Shep, play out a love-hate relationship over several decades among the elite levels of Southern society"," Fiction , General"
3773,Homegoing,"By Pohl, Frederik","When the Hakh'hli aliens visit earth with Sandy Washington, the boy they have raised aboard their spaceship, no one is willing to believe their good intentions"," Fiction , Science Fiction , General"
3774,The Icarus Agenda,"By Ludlum, Robert","When his part in the settlement of a hostage crisis is revealed, congressman Evan Kendrick becomes the pawn of those who wish to make him president and the target of terrorists seeking revenge"," Fiction , Thrillers , General"
3775,Wordstruck: A Memoir,"By MacNeil, Robert",A Nova Scotia boyhood is recaptured through remembrances of early encounters with the written word and love of the language and the quiet but unforgettable special moments of youth," Biography & Autobiography , General"
3776,Sleeping Beauty,"By Michael, Judith","Back in her hometown for her grandfather's funeral, high-powered divorce lawyer Anne Garnett resolves a conflict with her Uncle Vincent begun twenty-four years earlier when both vied for control of the family empire"," Fiction , Family Life"
3777,Facade,"By Pulitzer, Roxanne","Kate, a gossip columnist; Jessie, wife to a rich and powerful man; Sarah, mistress of sex, drugs, and rock 'n' roll; and Christine, a savvy businesswoman, experience joy and deceit in Palm Beach. 75,000 first printing. Tour."," Fiction , General"
3778,Seize the Moment: America's Challenge in a One-Superpower World,"By Nixon, Richard","""What is most striking about Mr. Nixon's charge to seize the moment, nearly all of which is sensible and sound, is the continuity of his counsel."" —The New York Times“In Moscow, Khrushchev arrogantly predicted to me, 'Your grandchildren will live under communism.' I responded, 'Your grandchildren will live in freedom.' At the time, I was sure he was wrong, but I was not sure I was right. As a result of the new Soviet revolution, I proved to be right. Khrushchev's grandchildren now live in freedom.""In this brilliantly timed book, Richard Nixon defines the challenges and opportunities facing America as the world's sole superpower. Only American leadership, he contends, can guide the turbulent post-Soviet Union world toward freedom and prosperity and make the 21st century an American century.Forcefully dismissing the three prevailing post-Cold War myths about America—that ""history has ended"" with the defeat of communism, that military power had become irrelevant, and that America is a declining power—Nixon charts the course America must take in the future to seize this moment in history."," Political Science , General"
3779,The Horse You Came in On,"By Grimes, Martha","Richard Jury is supposed to be on holiday when the telephone call comes. And in any case, what has sudden death on American soil to do with an English police superintendent? But when the victim turns out to be British by birth, and to have a distant connection with Jury's old acquaintance Lady Cray, he reluctantly pries himself loose from his pint at the Jack and Hammer. Enlisting the aid of aristocratic Melrose Plant, and accompanied by Sergeant Wiggins (fortified against the unknown and menacing germs of intercontinental travel), Jury crosses the Atlantic.Baltimore turns out to have many attractions - not the least of which is avant-garde novelist Ellen Taylor, last encountered in Yorkshire at the Old Silent inn. Ellen is painfully engaged in finishing her new book, but takes time out to introduce the trio to the delights of the city - football, Poe, Bromo-Seltzer, and a bar called The Horse You Came In On.Literary larceny, dubious descendants, football franchises. Murder. These are the elements in a complex puzzle set by Martha Grimes in Jury's twelfth case, marked by the riches of characterization, wit, and suspense her readers look forward to. In the words of the first advance review, from Kirk us, ""Nobody will rise from this table still hungry."""," Fiction , Mystery & Detective , General"
3780,A Good Life: Newspapering and Other Adventures,"By Bradlee, Benjamin C","This is the witty, candid story of a daring young man who made his own way to the heights of American journalism and public life, of the great adventure that took him at only twenty years old straight from Harvard to almost four years in the shooting war in the South Pacific, and back, from a maverick New Hampshire weekly to an apprenticeship for Newsweek in postwar Paris, then to the Washington Bureau chief's desk, and finally to the apex of his career at The Washington Post.Bradlee took the helm of The Washington Post in 1965. He and his reporters transformed it into one of the most influential and respected news publications in the world, reinvented modern investigative journalism, and redefined the way news is reported, published, and read. Under his direction, the paper won eighteen Pulitzer prizes. His leadership and investigative drive following the break-in at the Democratic National Committee led to the downfall of a president, and kept every president afterward on his toes.Bradlee, backed every step of the way by the Graham family, challenged the federal government over the right to publish the Pentagon Papers - and won. His ingenuity, and the spirited reporting of Sally Quinn, now his wife, led to the creation of the Style Section, a revolutionary newspaper feature in its time, now copied by just about every paper in the country."," Biography & Autobiography , General"
3781,Mosaic,"By Moody, Susan","English journalist Frances Brett, abandoned by the mysterious Nicholas Marquand in Istanbul, finds herself drawn into the lives of a series of bizarre people as she investigates Nicholas' subsequent murder and mutilation"," Fiction , General"
3782,The Stargazey,"By Grimes, Martha","November. in a bleak month, a bleak Richard Jury takes an aimless ride on one of London's icons--the old double-decker bus, a # 14 traveling the Fulham Road. His attention is caught by a woman ""with hair so gossamer-pale you could see the moon through it,"" wearing a fur coat, boarding his bus in front of a pub called the Stargazey. Her behavior intrigues him, as she leaves, reboards, and leaves the bus again. Jury follows her to the gates of Fulham Palace--but only to the gates. There he stops. Later he wonders if the death in the walled garden of Fulham Palace could have been averted if he had gone in...nd if this precipitated still another death in a London club named Boring's, which is Melrose Plant's crusty old men's club. Before Jury and Plant work out the connection between these killings, they are both helped and hindered by Martha Grimes' usual band of eccentrics: Theo Wrenn Browne, trying to shut down the Long Pidd library; the Cripps family trying to shut down civilization; and Diane Demorney, the new horoscope columnist for the Sidbury Star, trying to shut down the heavens."," Fiction , Mystery & Detective , Traditional"
3783,Virtual Reality,"By Rheingold, Howard","Discusses a new interactive computer technology that creates the illusion of being immersed in an artificial world that exists only in the computer, and examines the remarkable future implications of virtual reality technology"," Science , General"
3784,Rabbit At Rest,"By Updike, John","In John Updike's fourth and final novel about ex-basketball player Harry ""Rabbit"" Angstrom, the hero has acquired heart trouble, a Florida condo, and a second grandchild. His son, Nelson, is behaving erratically; his daughter-in-law, Pru, is sending out mixed signals; and his wife, Janice, decides in midlife to become a working girl. As, through the winter, spring, and summer of 1989, Reagan's debt-ridden, AIDS-plagued America yields to that of George Bush, Rabbit explores the bleak terrain of late middle age, looking for reasons to live. The geographical locale is divided between Brewer, in southestern Pennyslvania, and Deleon, in southwestern Florida."," Juvenile Fiction , Animals , Rabbits"
3785,Princess Daisy,"By Krantz, Judith","She was born Princess Marguerite Alexandrovna Valensky. But everyone called her Daisy. She was a blonde beauty living in a world of aristocrats and countless wealthy. Her father was a prince, a Russian nobleman. Her mother was an American movie goddess. Men desired her. Women envied her. Daisy's life was a fairy tale filled with parties and balls, priceless jewels, money and love. Then, suddenly, the fairy tale ended. And Princess Daisy had to start again, with nothing--except the secret she guarded from the day she was born.From the Paperback edition."," Fiction , General"
